,STATION_NAME,NAT_ABBR,LATITUDE,LONGITUDE,XCOORD,YCOORD,ELEVATION
287,Punt la Drossa,PUD,46.653999999999996,10.19,810566,170638,1713.00
288,Reigoldswil,REG,47.398999999999994,7.6731,617700,249870, 602.00
289,Rempen,REM,47.138000000000005,8.8968,710610,221850, 650.00
290,Rheinfelden,RHF,47.547,7.7969,626970,266320, 300.00
291,Ricken,RIC,47.263999999999996,9.0455,721600,236075, 785.00
292,"Ried, Lötschen",RIE,46.413999999999994,7.8064,628275,140370,1500.00
293,Riedholz / Wallierhof,WHF,47.233999999999995,7.5627,609394,231491, 518.00
294,Riex,RIX,46.494,6.7363,546080,149410, 461.00
295,Romont,ROM,46.70399999999999,6.9349,561476,172622, 692.00
296,Rothenbrunnen,ROT,46.766000000000005,9.4185,751220,181300, 622.00
297,Rünenberg,RUE,47.435,7.8793,633246,253846, 611.17
298,S. Bernardino,SBE,46.464,9.1846,734112,147296,1638.70
299,Safien Platz,SAP,46.678999999999995,9.3151,743556,171437,1296.00
300,Saignelégier,SAI,47.257,6.9812,565379,234076, 883.00
301,Salen-Reutenen,HAI,47.651,9.0239,719099,279047, 718.00
302,Salez / Saxerriet,SAX,47.233000000000004,9.4931,755558,233374, 436.00
303,Samedan,SAM,46.526,9.8795,787250,155685,1708.51
304,Sargans,SAR,47.053999999999995,9.44,752046,213364, 590.00
305,Sarnen,SRN,46.891000000000005,8.2467,661580,193690, 475.00
306,"Sattel, SZ",SAG,47.081,8.637,690999,215145, 790.10
307,Savognin,SVG,46.595,9.5971,765387,162663,1172.00
308,Schaan,SUA,47.187,9.4907,755510,228260, 444.00
309,Schaffhausen,SHA,47.69,8.6201,688698,282796, 438.00
310,Schleitheim,SCH,47.744,8.4816,678225,288730, 499.00
311,Schwarzenburg,SZB,46.81399999999999,7.3489,593150,184720, 806.00
312,Schwarzenegg,SCE,46.806000000000004,7.7227,621687,183860, 902.00
313,Schwägalp,SWA,47.256,9.3172,742180,235650,1348.00
314,Schänis,SCA,47.17,9.0207,719940,225580, 415.00
315,Scudellate,SCD,45.922,9.0393,724175,86850, 925.00
316,Scuol,SCU,46.793,10.2832,817135,186393,1303.93
317,Sedrun,SED,46.672,8.7452,699974,169845,1429.00
318,Seengen,SNG,47.327,8.1884,656680,242110, 445.00
319,Segl-Maria,SIA,46.431999999999995,9.7623,778575,144976,1804.00
320,Sempach,SPA,47.135,8.1957,657433,220760, 532.00
321,Semsales,SEM,46.576,6.9313,561110,158430, 873.00
322,Sevelen,SEV,47.123999999999995,9.4895,755605,221302, 457.00
323,Siebnen,SIE,47.172,8.9005,710821,225538, 452.00
324,Sierre,SRE,46.298,7.5572,609138,127458, 536.00
325,Sihlbrugg,SIH,47.221000000000004,8.5783,686318,230586, 549.00
326,Simplon-Dorf,SIM,46.196999999999996,8.0563,647683,116340,1465.00
327,Sion,SIO,46.218999999999994,7.3302,591630,118575, 482.00
328,Soglio,SOG,46.342,9.5352,761393,134474,1086.00
329,Splügen,SDO,46.553000000000004,9.322,744420,157435,1460.00
330,St. Gallen,STG,47.425,9.3985,747865,254588, 775.66
331,St. Peterzell,SPZ,47.317,9.1747,731250,242140, 700.00
332,St. Urban,STU,47.22,7.8496,631125,230015, 491.00
333,"Sta. Maria, Val Müstair",SMM,46.602,10.4263,828861,165580,1383.00
334,Stabio,SBO,45.843,8.9324,716050,77966, 353.00
335,Stalden / Ackersand,AST,46.24100000000001,7.8746,633630,121150, 700.00
336,Stans,SNS,46.97,8.3443,668918,202459, 438.00
337,Starkenbach,STB,47.185,9.2504,737313,227576, 897.00
338,Steckborn,STE,47.662,8.9723,715200,280150, 399.50
339,Stiegelschwand,SGD,46.488,7.5333,607270,148550,1467.00
340,Stöckalp,STP,46.8,8.2812,664320,183550,1070.00
341,Sulgen,SUG,47.542,9.1791,731025,267175, 445.00
342,Susch,SUS,46.755,10.083,802002,181593,1416.00
343,Säntis,SAE,47.248999999999995,9.3436,744200,234920,2502.00
344,Tamins,TAM,46.832,9.4069,750155,188614, 667.00
345,Tavanasa,TAV,46.751000000000005,9.0452,722750,178980, 800.00
346,"Teufen, AR",TEU,47.388000000000005,9.3961,747784,250409, 834.00
347,Thierrens,THI,46.703,6.7531,547570,172610, 770.00
348,Thun,THU,46.75,7.5852,611201,177640, 570.00
349,Thusis,THS,46.708999999999996,9.4417,753155,175089, 672.00
350,Tiefencastel,TIC,46.663999999999994,9.5714,763205,170350, 890.00
